"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.522833338E-3,-1.662742347E-2,-2.177929640E0,9.890069067E-2,2.180237449E0
1.954283334E-2,-2.142710239E-2,-2.083440781E0,9.483741969E-2,2.085708211E0
2.956283334E-2,-3.079530410E-2,-1.989679694E0,9.850645810E-2,1.992354677E0
3.958283334E-2,-3.095734492E-2,-1.890252590E0,1.031750739E-1,1.893319389E0
4.960283334E-2,-3.205217049E-2,-1.706229687E0,1.060230583E-1,1.709821036E0
5.962383334E-2,-4.658015445E-2,-1.600369930E0,1.222619414E-1,1.605709067E0
6.964383334E-2,-2.194671147E-2,-1.421041131E0,1.358368695E-1,1.427687364E0
7.966383334E-2,1.164378040E-2,-1.311167479E0,1.200144216E-1,1.316700116E0
8.968383334E-2,-1.139122993E-2,-1.199177027E0,7.293532789E-2,1.201446987E0
9.970483334E-2,-2.987870201E-2,-1.053529859E0,8.023034781E-2,1.057002748E0
1.097248333E-1,-1.854961365E-2,-9.001922607E-1,8.799932152E-2,9.046734632E-1
1.197448333E-1,-1.488317270E-2,-7.719761133E-1,9.116243571E-2,7.774826159E-1
1.297648333E-1,-1.581181586E-2,-6.432288289E-1,9.252756834E-2,6.500420685E-1
1.397848333E-1,-1.939040609E-2,-4.987160563E-1,9.993478656E-2,5.089996604E-1
1.498058333E-1,-1.673603244E-2,-3.734630644E-1,9.609370679E-2,3.859906162E-1
1.598258333E-1,-1.322530303E-2,-2.367244363E-1,9.334819019E-2,2.548082651E-1
1.698458333E-1,-6.747696083E-3,-9.255047888E-2,9.239344299E-2,1.309491155E-1
1.798658333E-1,-6.190285552E-3,4.882524535E-2,8.996082097E-2,1.025435202E-1
1.898868333E-1,-4.800382070E-3,1.973406971E-1,8.502944559E-2,2.149334804E-1
1.999068333E-1,7.340321317E-4,3.255542517E-1,8.092081547E-2,3.354613062E-1
2.099268333E-1,3.053379012E-3,4.667630494E-1,7.841984183E-2,4.733146300E-1
2.199468333E-1,9.523816407E-3,5.965971351E-1,7.032044977E-2,6.008026384E-1
2.299668333E-1,1.645309478E-2,7.293096185E-1,6.054478511E-2,7.320033435E-1
2.399878333E-1,1.962184906E-2,8.645829558E-1,4.613363370E-2,8.660352283E-1
2.500078333E-1,2.926648781E-2,9.959809184E-1,3.691297024E-2,9.970943208E-1
2.600278333E-1,3.589974344E-2,1.125939369E0,2.079649270E-2,1.126703488E0
2.700478333E-1,3.879806027E-2,1.256370068E0,6.349376868E-3,1.256985024E0
2.800688333E-1,4.768885300E-2,1.381279349E0,-1.324164215E-2,1.382165767E0
2.900888333E-1,5.444689095E-2,1.506104350E0,-2.592308261E-2,1.507311110E0
3.001088333E-1,5.993721634E-2,1.643423200E0,-4.445841536E-2,1.645116663E0
3.101288333E-1,5.884771794E-2,1.769320607E0,-6.054151058E-2,1.771333887E0
3.201488333E-1,5.879409611E-2,1.879555106E0,-7.661387324E-2,1.882034492E0
3.301698333E-1,6.266366690E-2,1.989356160E0,-9.033155441E-2,1.992391642E0
3.401898333E-1,6.236763299E-2,2.095410824E0,-1.030034050E-1,2.098867777E0
3.502098333E-1,6.786733121E-2,2.196488619E0,-1.094839349E-1,2.200262475E0
3.602298333E-1,6.180020794E-2,2.301972151E0,-1.194346547E-1,2.305896720E0
3.702508333E-1,5.977300555E-2,2.401397467E0,-1.239359230E-1,2.405336300E0
3.802708333E-1,5.198743194E-2,2.494980097E0,-1.289268881E-1,2.498849839E0
3.902908333E-1,4.798922688E-2,2.588060379E0,-1.322598308E-1,2.591881972E0
4.003108333E-1,4.480147362E-2,2.668849230E0,-1.357206106E-1,2.672673468E0
4.103308333E-1,4.577432573E-2,2.748461008E0,-1.433417797E-1,2.752576987E0
4.203518333E-1,3.970143199E-2,2.827164412E0,-1.529546231E-1,2.831577287E0
4.303718333E-1,5.187234282E-2,2.894233942E0,-1.668440700E-1,2.899503025E0
4.403918333E-1,5.927614495E-2,2.950554371E0,-1.952869743E-1,2.957604057E0
4.504118333E-1,6.180960685E-2,2.925078392E0,-1.703874916E-1,2.930688643E0
4.604328333E-1,7.291866094E-2,2.984480858E0,-1.859845817E-1,2.991159204E0
4.704528333E-1,2.908728831E-2,2.983674526E0,-8.321451396E-2,2.984976449E0
4.804728333E-1,5.852294713E-2,3.035963297E0,-4.486249760E-2,3.036858693E0
4.904928333E-1,2.553729899E-2,2.941207409E0,-1.070044339E-1,2.943264026E0
5.005128333E-1,2.527857199E-2,2.950435638E0,-1.008662954E-1,2.952267514E0
5.105338333E-1,2.356642485E-2,2.933271885E0,-9.047437459E-2,2.934761479E0
5.205538333E-1,2.166815847E-2,2.935502291E0,-8.161661029E-2,2.936716615E0
5.305738333E-1,2.375820838E-2,2.904927492E0,-7.541543990E-2,2.906003385E0
5.405938333E-1,2.609072626E-2,2.888936520E0,-6.883405894E-2,2.889874230E0
5.506148333E-1,2.454023249E-2,2.853476048E0,-7.161946595E-2,2.854480185E0
5.606348333E-1,2.605966479E-2,2.825292110E0,-6.495080888E-2,2.826158740E0
5.706548333E-1,2.885758132E-2,2.798337698E0,-6.102504581E-2,2.799151780E0
5.806748333E-1,2.894180641E-2,2.764103174E0,-6.240715459E-2,2.764959066E0
5.906948333E-1,2.262159251E-2,2.718072891E0,-6.532917172E-2,2.718951982E0
6.007158333E-1,1.888872869E-2,2.672271252E0,-6.421258301E-2,2.673109366E0
6.107358333E-1,2.031538263E-2,2.594946623E0,-6.808908284E-2,2.595919262E0
6.207558333E-1,1.713627391E-2,2.516144276E0,-6.736069918E-2,2.517104116E0
6.307758333E-1,1.383901387E-2,2.435467005E0,-6.821717322E-2,2.436461498E0
6.407958333E-1,1.096957363E-2,2.349067688E0,-7.118918747E-2,2.350171746E0
6.508168333E-1,2.907386050E-3,2.265038013E0,-7.092314214E-2,2.266149983E0
6.608368333E-1,1.604969497E-3,2.180993795E0,-7.389131188E-2,2.182245733E0
6.708568333E-1,-5.612457753E-4,2.091557980E0,-7.346680760E-2,2.092847933E0
6.808768333E-1,3.396404441E-3,2.021675348E0,-6.101217866E-2,2.022598634E0
6.908978333E-1,-6.428117631E-4,1.893484116E0,-7.734108716E-2,1.895063100E0
7.009178333E-1,-9.184467606E-3,1.768331647E0,-7.404951006E-2,1.769905223E0
7.109378333E-1,-5.869630724E-3,1.571146369E0,-7.133868337E-2,1.572776072E0
7.209578333E-1,-1.888431609E-2,1.434198141E0,-6.444597244E-2,1.435769553E0
7.309788333E-1,-1.623127609E-2,1.348722935E0,-6.544759125E-2,1.350407493E0
7.409988333E-1,-1.947185583E-2,1.245961785E0,-6.126402691E-2,1.247619014E0
7.510188333E-1,-2.065456659E-2,1.140436530E0,-5.724238604E-2,1.142059009E0
7.610388333E-1,-1.875803620E-2,1.024152279E0,-5.161140487E-2,1.025623465E0
7.710588333E-1,-1.600698940E-2,9.113610387E-1,-4.714208841E-2,9.127198601E-1
7.810798333E-1,-1.983111352E-2,7.907241583E-1,-4.380534589E-2,7.921848748E-1
7.910998333E-1,-1.882949844E-2,6.787981987E-1,-4.072273895E-2,6.802792706E-1
8.011198333E-1,-1.840918697E-2,5.634853840E-1,-3.836289793E-2,5.650897168E-1
8.111398333E-1,-1.220668573E-2,4.445177019E-1,-3.273510560E-2,4.458885260E-1
8.211608333E-1,-1.463818178E-2,3.084015250E-1,-2.743433416E-2,3.099651911E-1
8.311808333E-1,-1.048524864E-2,1.560197175E-1,-2.198550664E-2,1.579096424E-1
8.412008333E-1,-1.106404327E-2,-9.739935398E-3,-2.048766986E-2,2.523933460E-2
8.512208333E-1,-1.063554082E-2,-1.723349690E-1,-1.330112852E-2,1.731744101E-1
8.612408333E-1,-1.147968881E-2,-3.120740354E-1,-1.147055812E-2,3.124956968E-1
8.712618333E-1,-7.463376038E-3,-4.354529381E-1,-4.836358130E-3,4.355437448E-1
8.812818333E-1,-6.519494578E-3,-5.551322699E-1,-2.018838655E-3,5.551742218E-1
8.913018333E-1,-3.496274119E-3,-6.735348701E-1,4.779945593E-3,6.735609053E-1
9.013218333E-1,-3.624988254E-3,-7.970295548E-1,9.747724049E-3,7.970974031E-1
9.113428333E-1,-1.939473674E-3,-9.178355932E-1,1.356749609E-2,9.179379144E-1
9.213628333E-1,4.559161607E-3,-1.038538575E0,2.134908363E-2,1.038767992E0
9.313828333E-1,3.062731586E-3,-1.159732103E0,2.442583442E-2,1.159993342E0
9.414028333E-1,5.552849732E-3,-1.277345061E0,3.046669066E-2,1.277720415E0
9.514238333E-1,6.820514798E-3,-1.397543669E0,3.481430188E-2,1.397993870E0
9.614438333E-1,5.299937446E-3,-1.517350674E0,3.617078066E-2,1.517790987E0
9.714638333E-1,5.462390371E-3,-1.659629226E0,3.843154013E-2,1.660083127E0
9.814838333E-1,6.962079555E-3,-1.763293624E0,4.038231820E-2,1.763769715E0
9.915038333E-1,4.370823503E-3,-1.867024541E0,4.137754068E-2,1.867488110E0
1.001524833E0,9.394699708E-3,-1.977030873E0,4.313862324E-2,1.977523774E0
1.011544833E0,6.772285327E-3,-2.077309608E0,4.053538293E-2,2.077716100E0
1.021564833E0,6.302926224E-3,-2.176845312E0,4.175697267E-2,2.177254897E0
1.031584833E0,5.416093860E-3,-2.267438412E0,4.528006911E-2,2.267896949E0
1.041605833E0,2.967573237E-3,-2.358213186E0,4.438694194E-2,2.358632748E0
1.051625833E0,5.880388198E-4,-2.449244738E0,4.550120980E-2,2.449667425E0
1.061645833E0,3.414821811E-3,-2.531842470E0,4.637168348E-2,2.532269395E0
1.071665833E0,2.457947936E-3,-2.609576464E0,4.743295163E-2,2.610008668E0
1.081686833E0,-1.524824183E-4,-2.679830790E0,4.870727658E-2,2.680273397E0
1.091706833E0,3.187654074E-3,-2.751190186E0,4.910408705E-2,2.751630209E0
1.101726833E0,4.169049207E-3,-2.807289600E0,5.056329817E-2,2.807748017E0
1.111746833E0,6.403973792E-3,-2.771359205E0,5.274389312E-2,2.771868463E0
1.121767833E0,2.565147122E-3,-2.816289425E0,5.152646825E-2,2.816761914E0
1.131787833E0,3.860242432E-3,-2.829751968E0,5.459549278E-2,2.830281218E0
1.141807833E0,5.525993183E-3,-2.844134569E0,5.431331322E-2,2.844658489E0
1.151827833E0,2.540056827E-3,-2.868233919E0,5.342674628E-2,2.868732592E0
1.161847833E0,7.791790180E-3,-2.859989405E0,5.326209217E-2,2.860495929E0
1.171868833E0,1.454531914E-3,-2.873510599E0,5.173050985E-2,2.873976570E0
1.181888833E0,3.802395193E-3,-2.861415625E0,5.195934325E-2,2.861889867E0
1.191908833E0,2.217547968E-3,-2.860046625E0,5.334338918E-2,2.860544901E0
1.201928833E0,5.505956244E-3,-2.837896824E0,5.572077632E-2,2.838449137E0
